freq,siec,unit,geo\TIME_PERIOD	2018-01 	2018-02 	2018-03 	2018-04 	2018-05 	2018-06 	2018-07 	2018-08 	2018-09 	2018-10 	2018-11 	2018-12 	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 	2022-06 	2022-07 	2022-08 	2022-09 	2022-10 	2022-11 	2022-12 	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 	2023-07 	2023-08 	2023-09 	2023-10 	2023-11 	2023-12 	2024-01 	2024-02 	2024-03 	2024-04 	2024-05 	2024-06 	2024-07 	2024-08 	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 
M,RA300,GWH,HU	57.490 	48.471 	51.362 	69.201 	26.684 	46.548 	43.393 	27.822 	37.224 	61.872 	47.741 	71.598 	83.342 	73.748 	73.424 	72.606 	76.350 	31.491 	33.900 	29.575 	36.126 	47.521 	63.439 	83.739 	36.881 	103.171 	70.418 	36.733 	68.900 	58.409 	33.265 	30.627 	34.879 	64.638 	33.371 	54.097 	57.730 	51.010 	69.627 	75.212 	74.383 	29.299 	42.678 	31.188 	33.643 	55.229 	47.212 	67.086 	85.246 	86.916 	43.513 	66.566 	31.339 	37.380 	46.257 	34.477 	36.679 	31.883 	31.647 	50.512 	64.607 	60.857 	73.091 	66.115 	40.740 	27.184 	34.173 	29.818 	33.642 	59.041 	73.567 	56.429 	79.655 	73.099 	75.124 	65.964 	41.247 	29.1 	38.446 	26.648 	54.384 	46.816 	47.468 	56.313 	60.89 	36.507 
M,RA300,GWH,IE	1100.497 	779.462 	742.364 	699.009 	495.952 	312.300 	333.686 	541.526 	638.072 	721.376 	1014.770 	970.158 	872.584 	1108.726 	920.006 	741.249 	511.751 	577.487 	441.246 	721.142 	693.614 	806.236 	875.556 	1095.396 	1175.731 	1380.364 	911.564 	513.581 	680.591 	649.187 	671.869 	589.827 	755.551 	1170.422 	1059.920 	1248.375 	943.258 	1347.137 	966.105 	641.910 	742.172 	596.429 	303.844 	547.244 	516.255 	931.957 	932.719 	1198.511 	941.737 	1508.330 	928.474 	838.902 	868.233 	737.264 	526.914 	519.762 	647.740 	1290.530 	1375.200 	1041.092 	1211.068 	1105.607 	1122.606 	933.626 	564.269 	538.073 	877.184 	887.967 	853.168 	837.014 	1137.068 	1537.470 	1141.615 	1197.359 	1330.54 	928.997 	560.063 	640.203 	587.208 	947.575 	794.546 	1032.437 	887.614 	1318.917 	1101.391 	1475.74 
M,RA300,GWH,IT	1986.000 	1696.000 	2422.000 	1221.000 	909.000 	1418.000 	1224.000 	750.000 	946.000 	1475.000 	1361.000 	1910.000 	2321.000 	2339.000 	2450.000 	1473.000 	1652.000 	993.000 	1245.000 	727.000 	1165.000 	1044.000 	2197.000 	2457.000 	1711.000 	2351.000 	1755.000 	1255.000 	1725.000 	1573.000 	975.000 	1206.000 	1350.000 	1605.000 	1057.000 	2009.000 	2604.000 	1697.000 	1826.000 	1541.000 	1969.000 	960.000 	1403.000 	1424.000 	986.000 	1665.000 	1720.000 	2824.000 	2544.000 	2261.000 	2032.000 	2391.000 	1132.000 	1281.000 	1027.000 	1211.000 	1724.000 	1080.000 	1955.000 	1720.000 	2281.000 	1816.000 	2561.000 	2164.000 	1519.000 	1034.000 	1347.000 	1735.000 	1645.000 	1863.000 	2968.000 	2441.000 	2814 	2293 	2405 	2069 	1679 	1324 	1190 	916 	1621 	1368 	1757 	2632 	2568 	1276 
M,RA300,GWH,LT	138.673 	56.530 	99.436 	134.487 	68.946 	77.123 	61.453 	70.689 	112.702 	136.722 	83.070 	96.526 	131.275 	153.846 	178.341 	118.505 	101.813 	103.428 	99.119 	48.500 	117.500 	121.200 	133.980 	174.031 	192.684 	196.679 	127.456 	141.960 	119.675 	62.985 	100.905 	45.697 	120.796 	128.079 	138.020 	168.548 	99.302 	104.187 	129.008 	127.271 	113.722 	50.617 	59.529 	96.059 	112.098 	170.861 	160.769 	130.795 	207.919 	216.543 	89.191 	155.181 	128.496 	64.467 	101.399 	73.172 	86.972 	150.935 	96.446 	133.137 	214.366 	189.372 	250.593 	171.299 	123.776 	97.204 	174.125 	159.031 	182.378 	388.420 	223.003 	319.239 	387.754 	314.986 	311.311 	296.747 	206.428 	157.781 	180.352 	175.437 	243.429 	278.243 	357.961 	420.655 	378.905 	181.012 
M,RA300,GWH,LU	38.918 e	24.617 e	24.842 e	22.346 e	15.994 e	12.948 e	10.918 e	14.589 e	16.522 e	23.170 e	26.292 e	32.552 e	28.732 e	22.885 e	39.299 e	19.659 e	17.390 e	15.453 e	11.950 e	13.762 e	19.233 e	29.158 e	24.250 e	34.579 e	33.051 e	48.291 e	38.936 e	22.442 e	21.659 e	17.840 e	18.888 e	19.611 e	16.377 e	24.729 e	46.262 e	34.702 e	33.933 e	39.584 e	35.615 e	25.900 e	35.252 e	12.858 e	19.352 e	21.453 e	13.735 e	37.739 e	22.990 e	32.569 e	28.952 e	56.080 e	30.704 e	34.212 e	21.816 e	13.927 e	14.887 e	16.611 e	19.440 e	31.741 e	37.531 e	38.876 e	49.858 e	39.428 e	54.973 e	36.183 e	31.094 e	20.895 e	33.659 e	26.140 e	24.589 e	51.753 e	64.629 e	63.972 e	55.009 	59.948 	46.756 	49.695 	26.158 	22.973 	21.334 	20.73 	42.915 	35.152 	42.181 	50.365 	51.979 	33.856 
M,RA300,GWH,LV	14.000 	6.000 	10.000 	12.000 	6.000 	9.000 	6.000 	8.000 	16.000 	16.000 	8.000 	9.000 	13.000 	17.000 	20.000 	11.000 	11.000 	7.000 	9.000 	6.000 	13.000 	14.000 	11.000 	20.000 	24.000 	23.000 	17.000 	15.000 	13.000 	6.000 	13.000 	5.000 	14.000 	14.000 	17.000 	15.000 	9.000 	9.000 	16.000 	16.000 	11.000 	4.000 	7.000 	10.000 	11.000 	17.000 	15.000 	13.000 	20.000 	20.000 	8.000 	14.000 	11.000 	7.000 	14.000 	12.000 	14.000 	28.000 	17.000 	25.000 	34.000 	25.000 	32.000 	18.000 	15.000 	9.000 	22.000 	15.000 	18.000 	37.000 	18.000 	24.000 	37 	26 	23 	21 	14 	14 	17 	14 	15 	24 	31 	38 	31 	12 
M,RA300,GWH,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
M,RA300,GWH,NL	1464.000 	1106.000 	1106.000 	779.000 	627.000 	790.000 	424.000 	1100.000 	1100.000 	1396.000 	1085.000 	1302.000 	1269.339 	953.473 	1440.035 	812.979 	688.285 	583.145 	548.580 	760.611 	924.571 	1111.362 	937.094 	1478.453 	1523.171 	1892.691 	1445.485 	824.403 	789.007 	763.163 	839.605 	869.716 	973.283 	1949.139 	1650.161 	1819.306 	1821.881 	1861.530 	1645.837 	1373.735 	1308.518 	659.410 	1040.188 	1403.534 	923.983 	2195.920 	1588.910 	2105.682 	2285.233 	3122.039 	1405.635 	1905.293 	1287.025 	1036.249 	1014.240 	874.772 	1330.038 	2020.591 	2643.064 	2227.929 	3152.247 	2055.412 	2765.013 	1934.362 	1562.228 	1535.956 	2364.392 	1567.195 	1468.130 	3111.349 	3584.089 	4064.125 	3851.252 	3791.03 	2893.417 	3439.818 	1658.712 	1757.45 	1898.127 	1857.624 	2417.064 	2375.458 	2690.014 	4069.617 	2940.135 	2672.092 
M,RA300,GWH,PL	1711.773 	594.638 	1108.090 	1275.428 	797.923 	748.039 	674.737 	682.360 	985.419 	1440.952 	1010.325 	1457.661 	1541.634 	1514.338 	1775.231 	1230.862 	1002.763 	743.886 	893.691 	588.167 	1176.146 	1149.931 	1326.235 	1760.090 	1863.674 	2139.094 	1473.405 	1218.739 	1118.020 	733.992 	858.783 	682.638 	907.871 	1304.337 	1260.882 	1692.407 	1253.160 	1289.368 	1417.700 	1390.181 	1404.014 	662.819 	709.222 	1054.057 	1053.893 	2181.775 	1719.481 	1861.418 	2574.896 	2686.254 	1219.405 	1706.811 	1383.618 	918.195 	1258.920 	750.843 	1115.399 	1691.051 	1257.036 	1970.138 	2466.095 	2259.382 	2276.633 	1470.003 	1486.763 	945.937 	1237.323 	1346.844 	1239.832 	2512.048 	2254.225 	3113.682 	3038.467 	2649.873 	2245.528 	2010.252 	1462.815 	1091.258 	1157.698 	1235.156 	2198.046 	2114.905 	2354.896 	2619.732 	3122.667 	1433.159 
M,RA300,GWH,PT	1375.000 	1164.000 	1952.000 	1111.000 	723.000 	704.000 	614.000 	749.000 	434.000 	1195.000 	1383.000 	1126.000 	1433.000 	918.000 	1093.000 	1193.000 	1160.699 	799.433 	707.004 	827.717 	906.657 	1056.592 	1949.137 	1541.045 	1323.931 	817.367 	1292.709 	916.287 	688.421 	823.951 	735.815 	873.293 	771.832 	1218.566 	1155.736 	1566.832 	1468.018 	1473.568 	1078.708 	654.152 	1077.821 	790.636 	940.078 	713.861 	813.339 	923.326 	1257.859 	1856.519 	1304.765 	909.762 	1518.764 	1169.772 	860.858 	822.251 	779.414 	736.405 	934.769 	1215.179 	1305.455 	1637.793 	1436.704 	1194.122 	1172.647 	873.092 	1147.537 	681.558 	933.607 	1002.101 	737.321 	1362.633 	1390.296 	1225.556 	1235.951 	1533.694 	1600.699 	1154.461 	1103.908 	745.744 	777.216 	871.682 	1085.678 	1461.277 	1482.99 	1277.728 	1812.796 	924.409 
