country,date,population,gdp_pc_pps,COAL,GAS,OIL,fossil_share,energy_per_capita_gwh,energy_per_capita_mwh
FI,2018-01-01,5513130,33389,31813.174,25314.405,103052.811,39.452958306546215,0.07364301150163337,73.64301150163337
FI,2019-01-01,5517919,33995.7,24755.268,24795.437,99263.897,37.40402075334396,0.07210276790942383,72.10276790942383
FI,2020-01-01,5525292,34037,21383.191,24607.282,91243.241,36.73223869674171,0.06761735596960305,67.61735596960305
FI,2021-01-01,5533793,36219.4,24181.849,24739.892,84650.609,34.07073100116238,0.07084548952228606,70.84548952228606
FI,2022-01-01,5548241,38447,25039.323,12841.305,90743.279,34.03592404093102,0.06811281575547998,68.11281575547997
FI,2023-01-01,5563970,40029.2,19966.244,14735.777,90558.038,32.336989072199096,0.06961907558811424,69.61907558811424
FI,2024-01-01,5603851,40884.6,NA,NA,NA,NA,NA,NA
FR,2018-01-01,67026224,31459.8,106206.598,428383.845,889902.104,48.082178733737436,0.04420091800188535,44.20091800188535
FR,2019-01-01,67290471,33243.6,85231.388,436620.48,898993.612,48.51081631103911,0.0435265954669867,43.5265954669867
FR,2020-01-01,67473651,31595.1,61626.136,405828.407,752221.272,46.894283269012796,0.0385469747442598,38.5469747442598
FR,2021-01-01,67728568,33449.6,98472.618,430413.946,799098.66,47.199121468427805,0.04154200316179725,41.54200316179725
FR,2022-01-01,68091703,35127.1,86770.439,386440.28,804390.297,49.884877480724015,0.03761249494670445,37.612494946704444
FR,2023-01-01,68277210,37839.7,69770.088,340556.584,812201.864,46.90019299433538,0.038177598733164404,38.1775987331644
FR,2024-01-01,68467362,39112.9,NA,NA,NA,NA,NA,NA
HR,2018-01-01,4014341,19694.6,4260.713,26658.366,38973.385,69.26836366291712,0.02513513151971893,25.13513151971893
HR,2019-01-01,3968676,21298.9,4866.355,27981.422,38077.468,69.38667255529292,0.025756042821333865,25.756042821333864
HR,2020-01-01,3933511,19997.5,4200.654,29368.095,32399.704,68.31794893792407,0.024548282437750906,24.548282437750906
HR,2021-01-01,3893026,23292.7,4830.347,28251.805,34328.536,66.66697786176529,0.025973512635158357,25.973512635158357
HR,2022-01-01,3862305,25881.8,4727.461,24805.114,38298.279,68.55152452355699,0.025619084199720116,25.619084199720117
HR,2023-01-01,3850894,28967.6,4019.561,26618.425,41886.724,70.52673759783698,0.026703650892494057,26.703650892494057
HR,2024-01-01,3861967,30493.2,NA,NA,NA,NA,NA,NA
