freq,siec,unit,geo\TIME_PERIOD	2018-01 	2018-02 	2018-03 	2018-04 	2018-05 	2018-06 	2018-07 	2018-08 	2018-09 	2018-10 	2018-11 	2018-12 	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 	2022-06 	2022-07 	2022-08 	2022-09 	2022-10 	2022-11 	2022-12 	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 	2023-07 	2023-08 	2023-09 	2023-10 	2023-11 	2023-12 	2024-01 	2024-02 	2024-03 	2024-04 	2024-05 	2024-06 	2024-07 	2024-08 	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 
M,RA100,PC,FI	21.565 	20.910 	18.621 	22.833 	32.800 	22.142 	17.095 	15.194 	16.171 	17.755 	15.647 	14.766 	13.861 	13.403 	15.039 	19.768 	30.259 	27.043 	20.951 	15.712 	18.803 	14.943 	18.185 	19.295 	19.577 	23.183 	23.708 	23.470 	30.801 	25.174 	24.843 	24.221 	20.660 	23.131 	24.859 	22.677 	20.847 	20.353 	20.048 	24.496 	31.706 	30.652 	21.363 	21.625 	22.313 	21.686 	23.532 	17.277 	17.808 	18.709 	18.280 	21.244 	29.539 	26.232 	22.634 	21.131 	15.589 	13.134 	18.008 	13.506 	14.978 	18.430 	17.023 	17.413 	23.644 	19.212 	15.869 	23.034 	22.918 	23.300 	19.064 	17.211 	14.794 	14.793 	20.584 	21.963 	28.151 	24.627 	20.166 	13.871 	17.621 	15.463 	13.991 	13.138 	15.204 	13.784 
M,RA100,PC,FR	12.864 	13.366 	13.580 	16.379 	18.020 	18.632 	12.899 	10.615 	7.911 	7.041 	8.547 	9.609 	8.976 	10.119 	10.279 	10.701 	12.867 	14.482 	11.001 	10.121 	7.017 	9.363 	14.115 	15.333 	11.576 	12.402 	15.252 	13.887 	17.755 	18.437 	13.442 	11.098 	10.578 	12.410 	10.012 	11.304 	13.148 	14.603 	12.431 	10.264 	15.130 	15.840 	13.903 	11.296 	8.965 	7.348 	9.040 	11.003 	11.313 	9.626 	10.779 	13.944 	14.851 	12.781 	11.361 	9.361 	8.555 	9.378 	10.501 	11.387 	12.577 e	8.148 e	10.593 e	11.691 e	13.520 e	15.669 e	10.632 e	9.913 e	8.463 e	8.777 e	14.267 	14.213 	13.885 	13.058 	15.502 	14.600 	18.022 	16.520 	14.066 	10.560 	10.004 	14.824 	10.855 	12.323 	12.400 	13.240 
M,RA100,PC,HR	58.749 	56.970 	70.489 	79.830 	71.186 	54.014 	53.237 	48.636 	44.997 	40.806 	51.778 	50.951 	39.101 	50.410 	37.832 	49.344 	61.119 	59.352 	43.070 	36.452 	31.355 	26.434 	56.507 	61.768 	48.630 	37.628 	47.122 	50.509 	39.388 	42.155 	33.797 	33.042 	36.595 	52.740 	43.166 	56.437 	57.388 	60.532 	50.780 	55.061 	65.412 	48.363 	36.108 	36.580 	29.134 	27.429 	41.617 	58.324 	49.824 	39.237 	37.677 	42.962 	37.822 	37.287 	30.030 	23.956 	27.167 	32.156 	42.932 	60.423 	52.083 	43.581 	50.156 	44.486 	60.627 	51.101 	44.835 	42.750 	29.464 	38.030 	54.344 	57.678 	52.448 	52.633 	53.688 	49.902 	46.084 	56.314 	39.899 	35.121 	30.954 	49.289 	41.502 	39.993 	45.468 	42.145 
M,RA100,PC,HU	0.606 	0.702 	0.643 	0.478 	1.359 	1.286 	1.002 	0.625 	0.516 	0.515 	0.604 	0.597 	0.598 	0.854 	0.766 	1.005 	0.641 	0.752 	0.622 	0.574 	0.373 	0.334 	0.761 	0.842 	0.661 	0.674 	0.495 	0.842 	0.929 	0.682 	0.846 	0.874 	0.526 	0.732 	0.794 	0.726 	0.491 	0.247 	0.553 	0.671 	0.456 	0.817 	0.833 	0.636 	0.685 	0.470 	0.603 	0.642 	0.418 	0.576 	0.673 	0.394 	0.654 	0.561 	0.295 	0.316 	0.571 	0.542 	0.702 	0.424 	0.415 	0.524 	0.464 	0.624 	1.157 	1.078 	0.738 	0.686 	0.577 	0.559 	0.655 	0.336 	0.272 	0.37 	0.781 	0.752 	0.932 	0.877 	0.697 	0.435 	0.476 	0.707 	0.546 	0.657 	0.718 	0.598 
M,RA100,PC,IE	6.195 	5.484 	3.732 	3.685 	2.164 	0.849 	0.631 	1.627 	1.850 	1.991 	2.963 	5.863 	3.386 	4.428 	5.572 	3.194 	1.343 	2.204 	1.670 	3.612 	4.017 	5.830 	4.980 	5.582 	4.703 	5.134 	6.041 	2.823 	1.570 	1.520 	2.826 	3.836 	3.311 	4.044 	5.669 	5.394 	5.392 	5.662 	4.035 	2.932 	2.784 	1.655 	1.588 	2.668 	1.782 	3.624 	3.430 	4.051 	4.055 	4.388 	4.113 	2.142 	1.166 	0.590 	1.402 	1.074 	1.735 	4.392 	5.150 	3.759 	5.086 	3.127 	3.867 	4.430 	1.975 	1.478 	3.777 	4.975 	3.596 	5.554 	5.424 	5.219 	4.623 	4.487 	4.349 	3.78 	1.577 	0.77 	0.522 	1.402 	1.038 	1.87 	1.914 	3.336 	2.975 	2.919 
M,RA100,PC,IT	11.931 	11.884 	13.554 	22.541 	28.509 	25.251 	18.943 	17.823 	14.109 	12.126 	18.922 	15.410 	10.815 	11.899 	9.341 	15.027 	20.831 	24.212 	19.505 	18.530 	15.083 	12.697 	20.191 	19.831 	14.111 	12.249 	14.230 	18.714 	24.043 	22.852 	18.513 	17.519 	16.406 	20.043 	16.005 	15.787 	15.684 	17.100 	14.244 	14.928 	21.982 	23.839 	20.137 	20.900 	13.527 	13.751 	12.004 	12.036 	9.790 	7.734 	6.729 	8.818 	15.224 	14.461 	13.231 	11.808 	9.823 	9.028 	11.358 	10.767 	10.112 	8.010 	8.056 	9.079 	21.320 	22.387 	17.483 	18.117 	16.382 	16.394 	20.783 	16.497 	14.823 	14.067 	20.091 	24.188 	28.337 	28.575 	22.951 	17.872 	17.67 	24.812 	14.838 	10.379 	13.37 	12.017 
M,RA100,PC,LT	30.532 	38.012 	28.881 	25.031 	31.718 	27.518 	22.744 	28.884 	31.716 	31.919 	28.469 	26.533 	25.124 	20.876 	19.092 	20.060 	24.021 	28.047 	34.685 	41.753 	29.805 	24.992 	17.108 	20.208 	22.273 	24.732 	30.789 	22.783 	19.491 	20.854 	18.353 	20.040 	18.156 	17.005 	22.190 	18.744 	24.806 	24.402 	25.668 	27.831 	30.822 	18.719 	19.325 	21.883 	17.452 	24.830 	29.878 	29.110 	27.991 	27.020 	32.666 	24.977 	31.969 	32.563 	21.304 	23.704 	24.437 	21.580 	25.961 	21.081 	29.266 	29.447 	23.481 	26.058 	29.872 	20.870 	18.423 	18.825 	16.422 	11.751 	20.223 	15.834 	6.855 	13.248 	13.853 	10.538 	10.478 	6.968 	5.934 	6.373 	4.359 	4.617 	4.009 	4.165 	5.077 	4.663 
M,RA100,PC,LU	59.004 	59.710 	65.412 	66.811 	66.610 	64.911 	46.430 	57.972 	61.840 	62.503 	57.761 e	58.218 e	56.566 	54.648 	55.279 	45.446 	46.531 	52.361 	41.827 	50.454 	44.466 	49.516 	53.873 e	54.366 e	49.903 e	47.139 e	48.465 e	52.729 e	49.797 e	49.385 e	46.570 e	50.580 e	57.100 e	55.262 e	40.892 e	47.802 e	50.405 e	47.074 e	46.210 e	45.849 e	43.185 e	44.357 e	42.929 e	46.350 e	53.800 e	48.826 e	49.246 e	49.741 e	50.264 e	44.748 e	47.973 e	44.720 e	41.558 e	48.332 e	50.294 e	46.774 e	55.939 e	53.779 e	54.559 e	51.828 e	51.874 e	48.779 e	49.086 e	49.702 e	51.265 e	46.108 e	38.757 e	53.911 e	61.154 e	56.262 e	53.896 e	54.164 e	10.251 	9.089 	8.266 	6.973 	6.782 	6.032 	4.99 	3.49 	3.958 	7.878 	7.396 	9.718 	10.707 	9.369 
M,RA100,PC,LV	60.272 	34.728 	33.975 	75.122 	65.046 	27.723 	20.159 	14.444 	14.173 	14.615 	16.194 	14.773 	14.190 	32.059 	56.414 	59.319 	40.855 	18.673 	18.207 	16.571 	13.924 	29.961 	46.246 	49.107 	62.957 	60.430 	72.107 	56.579 	48.643 	35.073 	43.893 	18.987 	32.353 	34.731 	32.104 	34.638 	31.848 	33.051 	56.534 	78.015 	81.356 	52.542 	24.430 	44.444 	25.155 	34.050 	40.281 	41.878 	45.000 	69.518 	78.478 	86.170 	78.856 	77.778 	68.269 	31.660 	28.856 	54.545 	32.049 	25.275 	70.403 	53.623 	67.882 	91.574 	82.029 	42.857 	43.284 	34.361 	25.368 	37.063 	52.400 	57.383 	40.865 	50.065 	73.312 	84.606 	76.97 	51.883 	35.739 	30.696 	19.521 	31.507 	33.718 	42.162 	54.502 	31.389 
M,RA100,PC,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
