freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 	2023 
A,GIC,O4000XBIO,GWH,BG	53746.408 	55266.294 	50152.949 	53166.779 	56184.708 	55612.654 
A,GIC,O4000XBIO,GWH,CY	27425.434 	27118.776 	22749.646 	23626.076 	25441.654 	25854.774 
A,GIC,O4000XBIO,GWH,CZ	114148.254 	114764.821 	100133.481 	110147.892 	112975.484 	111809.693 
A,GIC,O4000XBIO,GWH,DE	1261433.225 	1279000.237 	1156713.485 	1136948.293 	1164616.876 	1087401.052 
A,GIC,O4000XBIO,GWH,DK	81915.852 	80609.127 	68057.824 	69912.648 	73878.794 	72185.933 
A,GIC,O4000XBIO,GWH,EE	1612.453 	588.659 	-217.473 	-1049.446 	2056.569 	-917.135 
A,GIC,O4000XBIO,GWH,EL	133126.912 	137235.244 	111267.756 	118490.218 	138394.545 	132665.136 
A,GIC,O4000XBIO,GWH,ES	668868.917 	653167.111 	531369.167 	584648.439 	627246.821 	603126.557 
A,GIC,O4000XBIO,GWH,FI	103052.811 	99263.897 	91243.241 	84650.609 	90743.279 	90558.038 
A,GIC,O4000XBIO,GWH,FR	889902.104 	898993.612 	752221.272 	799098.660 	804390.297 	812201.864 
A,GIC,O4000XBIO,GWH,HR	38973.385 	38077.468 	32399.704 	34328.536 	38298.279 	41886.724 
A,GIC,O4000XBIO,GWH,HU	93782.519 	95116.218 	86740.700 	94139.066 	93813.345 	91197.005 
A,GIC,O4000XBIO,GWH,IE	85936.709 	86302.135 	72476.307 	78138.916 	83055.604 	82675.378 
A,GIC,O4000XBIO,GWH,IT	636727.887 	628359.847 	522320.927 	593016.209 	599296.370 	607339.326 
A,GIC,O4000XBIO,GWH,LT	35889.143 	35016.231 	33534.683 	33809.106 	34366.631 	36299.621 
A,GIC,O4000XBIO,GWH,LU	33913.225 	34303.780 	27846.454 	29903.255 	27225.140 	26218.141 
A,GIC,O4000XBIO,GWH,LV	18495.651 	17966.398 	16581.872 	17388.170 	17514.269 	18474.598 
A,GIC,O4000XBIO,GWH,MT	5292.091 	5715.193 	4067.152 	4401.514 	5529.204 	5625.521 
A,GIC,O4000XBIO,GWH,NL	368844.806 	351165.903 	321933.055 	331091.342 	326512.470 	335218.123 
A,GIC,O4000XBIO,GWH,PL	358143.919 	364025.183 	342344.758 	363727.674 	382856.984 	384233.292 
A,GIC,O4000XBIO,GWH,PT	119100.029 	125871.061 	104070.797 	106338.072 	119527.464 	117587.750 
A,GIC,O4000XBIO,GWH,RO	113055.413 	115019.929 	112131.662 	122255.687 	122258.609 	129187.124 
A,GIC,O4000XBIO,GWH,SE	135238.122 	122853.370 	98879.875 	108655.586 	109100.917 	108344.834 
A,GIC,O4000XBIO,GWH,SI	28539.564 	27560.050 	23367.672 	25494.969 	27663.908 	25617.286 
A,GIC,O4000XBIO,GWH,SK	44030.709 	41844.051 	41849.929 	43463.024 	44539.514 	43335.663 
A,GIC,TOTAL,GWH,AT	395599.620 	404356.680 	376103.935 	397911.759 	379131.735 	367595.066 
A,GIC,TOTAL,GWH,BE	636289.107 	652552.260 	598261.161 	660835.667 	608247.669 	571508.617 
A,GIC,TOTAL,GWH,BG	219361.034 	217166.143 	206009.441 	224292.906 	227555.930 	200434.092 
A,GIC,TOTAL,GWH,CY	30622.576 	30541.283 	26551.005 	28021.817 	29900.757 	30386.450 
A,GIC,TOTAL,GWH,CZ	507513.287 	499319.875 	468910.538 	496915.425 	486693.075 	447014.134 
A,GIC,TOTAL,GWH,DE	3661841.316 	3583731.111 	3313201.413 	3446492.312 	3283317.678 	2976132.927 
A,GIC,TOTAL,GWH,DK	208137.428 	201938.750 	186389.867 	197063.462 	190478.270 	186774.721 
A,GIC,TOTAL,GWH,EE	66496.101 	57180.911 	52296.094 	53583.881 	56448.488 	49481.839 
A,GIC,TOTAL,GWH,EL	277235.631 	273934.771 	237816.445 	250167.562 	254097.334 	244039.011 
A,GIC,TOTAL,GWH,ES	1514913.988 	1475035.688 	1300117.788 	1372773.528 	1390890.926 	1353518.446 
A,GIC,TOTAL,GWH,FI	406003.496 	397857.233 	373605.636 	392044.274 	377906.317 	387358.448 
A,GIC,TOTAL,GWH,FR	2962620.631 	2928925.110 	2600905.121 	2813580.386 	2561098.835 	2606659.926 
A,GIC,TOTAL,GWH,HR	100900.989 	102217.389 	96560.939 	101115.560 	98948.717 	102832.929 
A,GIC,TOTAL,GWH,HU	310574.091 	310584.805 	304002.600 	318377.099 	299823.925 	282579.704 
A,GIC,TOTAL,GWH,IE	173361.459 	174252.053 	160202.039 	166000.507 	170445.773 	167283.431 
A,GIC,TOTAL,GWH,IT	1825789.318 	1807681.915 	1646754.701 	1791760.917 	1721992.150 	1653370.791 
A,GIC,TOTAL,GWH,LT	91098.076 	90739.243 	88767.702 	92435.737 	82946.348 	83696.099 
A,GIC,TOTAL,GWH,LU	52390.114 	52865.950 	46142.318 	49098.579 	44399.434 	42916.320 
A,GIC,TOTAL,GWH,LV	55745.639 	54052.378 	50721.406 	53270.411 	50824.129 	50974.873 
A,GIC,TOTAL,GWH,MT	9846.493 	10481.841 	8851.601 	9297.127 	10670.447 	10969.139 
A,GIC,TOTAL,GWH,NL	906878.151 	886329.601 	836212.615 	863780.860 	782159.152 	759619.660 
A,GIC,TOTAL,GWH,PL	1279028.128 	1233616.672 	1197419.303 	1274515.863 	1214880.843 	1142320.799 
A,GIC,TOTAL,GWH,PT	279523.455 	278022.170 	248883.124 	250556.382 	262692.360 	256904.424 
A,GIC,TOTAL,GWH,RO	390676.634 	386176.466 	374740.055 	398804.721 	368151.014 	357860.111 
A,GIC,TOTAL,GWH,SE	593564.250 	578030.828 	520598.474 	548426.322 	532989.536 	524571.303 
A,GIC,TOTAL,GWH,SI	79752.221 	78428.406 	73754.455 	76169.405 	74180.747 	70709.606 
A,GIC,TOTAL,GWH,SK	203921.389 	197922.388 	191274.169 	206930.882 	193367.417 	191185.320 
